episode,score,max_tile,steps
1,352,64,44
2,492,64,57
3,596,64,70
4,412,64,53
5,396,64,50
6,208,32,35
7,128,16,27
8,548,64,67
9,128,16,27
10,432,64,54
11,140,16,29
12,160,32,28
13,524,64,65
14,492,64,61
15,524,64,65
16,188,32,31
17,540,64,65
18,140,16,27
19,104,16,25
20,556,64,65
21,192,32,31
22,368,64,44
23,196,32,32
24,212,32,36
25,204,32,33
26,504,64,60
27,504,64,61
28,184,32,30
29,244,32,39
30,228,32,36
31,872,128,84
32,392,64,49
33,516,64,63
34,212,32,35
35,512,64,62
36,368,64,44
37,480,64,58
38,248,32,40
39,136,16,29
40,504,64,61
41,112,16,26
42,508,64,61
43,948,128,91
44,436,64,55
45,428,64,54
46,428,64,53
47,492,64,57
48,480,64,56
49,536,64,64
50,300,32,48
51,532,64,67
52,544,64,67
53,204,32,34
54,472,64,57
55,464,64,56
56,532,64,64
57,204,32,34
58,540,64,65
59,940,128,89
60,336,32,49
61,804,128,73
62,512,64,62
63,248,32,40
64,552,64,67
65,496,64,59
66,252,32,41
67,560,64,70
68,516,64,63
69,360,64,45
70,216,32,37
71,496,64,59
72,284,32,44
73,168,32,30
74,384,64,47
75,528,64,65
76,272,32,45
77,204,32,34
78,404,64,52
79,164,16,31
80,192,32,31
81,1124,128,104
82,960,128,91
83,284,32,45
84,552,64,68
85,500,64,60
86,532,64,63
87,612,64,70
88,516,64,63
89,1172,128,111
90,544,64,66
91,660,64,79
92,604,64,69
93,240,32,39
94,540,64,65
95,936,128,88
96,236,32,37
97,132,16,28
98,500,64,59
99,216,32,36
100,84,16,21
101,416,64,51
102,1172,128,111
103,1088,128,105
104,280,32,44
105,544,64,66
106,492,64,58
107,528,64,62
108,556,64,68
109,532,64,63
110,284,32,45
111,524,64,61
112,1180,128,111
113,200,32,33
114,280,32,44
115,568,64,71
116,992,128,98
117,396,64,51
118,608,64,73
119,1312,128,122
120,284,32,44
121,472,64,57
122,392,64,49
123,556,64,68
124,552,64,67
125,200,32,33
126,540,64,65
127,544,64,66
128,500,64,60
129,396,64,49
130,424,64,53
131,152,32,27
132,508,64,61
133,424,64,53
134,500,64,59
135,548,64,67
136,192,32,32
137,500,64,59
138,952,128,88
139,540,64,65
140,208,32,34
141,228,32,36
142,200,32,33
143,196,32,33
144,296,32,47
145,208,32,35
146,520,64,64
147,520,64,61
148,784,128,70
149,964,128,95
150,472,64,59
151,220,32,37
152,428,64,53
153,280,32,44
154,776,128,70
155,424,64,53
156,544,64,65
157,188,32,31
158,316,32,45
159,288,32,46
160,532,64,63
161,180,32,32
162,440,64,56
163,556,64,69
164,216,32,36
165,1004,128,100
166,508,64,62
167,536,64,64
168,500,64,60
